doc_type,meeting_date,avail_date,release_estimated,n_chars,lex_abg_hawk,lex_abg_dove,lex_abg_net,lex_abg_fomc_hawk,lex_abg_fomc_dove,lex_abg_fomc_net,emb_score,emb_coverage
statement,2012-09-13,2012-09-13,False,3804,2,0,0.6666666666666666,2,2,0.0,-0.04101927525816401,1.0
minutes,2012-09-13,2012-10-04,False,49870,8,7,0.0625,16,20,-0.10810810810810811,-0.03168787313357759,1.0
statement,2012-10-24,2012-10-24,False,3715,3,0,0.75,3,1,0.4,-0.046937667382315994,1.0
minutes,2012-10-24,2012-11-14,False,42790,11,2,0.6428571428571429,23,8,0.46875,-0.028685701885151467,1.0
statement,2012-12-12,2012-12-12,False,4729,1,0,0.5,2,0,0.6666666666666666,-0.05063084965062838,1.0
minutes,2012-12-12,2013-01-03,False,48146,4,5,-0.1,20,11,0.28125,-0.027054164747360547,1.0
statement,2013-01-30,2013-01-30,False,4431,1,0,0.5,1,1,0.0,-0.05824601053423123,1.0
minutes,2013-01-30,2013-02-20,False,70476,7,7,0.0,15,19,-0.11428571428571428,-0.02335356800921729,1.0
statement,2013-03-20,2013-03-20,False,4392,1,0,0.5,1,2,-0.25,-0.05323179404684072,1.0
minutes,2013-03-20,2013-04-10,False,47893,8,2,0.5454545454545454,17,16,0.029411764705882353,-0.030426092945199202,1.0
statement,2013-05-01,2013-05-01,False,4559,1,0,0.5,1,1,0.0,-0.05505489467335861,0.96875
minutes,2013-05-01,2013-05-22,False,45304,8,3,0.4166666666666667,17,17,0.0,-0.0263407466824337,1.0
statement,2013-06-19,2013-06-19,False,4721,1,1,0.0,1,2,-0.25,-0.05549734859779135,1.0
minutes,2013-06-19,2013-07-10,False,53812,5,8,-0.21428571428571427,21,22,-0.022727272727272728,-0.033434622592774264,1.0
statement,2013-07-31,2013-07-31,False,4746,1,0,0.5,1,1,0.0,-0.05306516145165457,1.0
minutes,2013-07-31,2013-08-21,False,47247,10,10,0.0,20,19,0.025,-0.030368345125110864,1.0
statement,2013-09-18,2013-09-18,False,5409,1,0,0.5,1,1,0.0,-0.06049012979104247,1.0
minutes,2013-09-18,2013-10-09,False,46834,3,3,0.0,13,14,-0.03571428571428571,-0.02991148911792748,1.0
statement,2013-10-30,2013-10-30,False,5280,1,0,0.5,1,1,0.0,-0.06103011530902605,1.0
minutes,2013-10-30,2013-11-20,False,50612,6,4,0.18181818181818182,15,11,0.14814814814814814,-0.03333843957428115,1.0
statement,2013-12-18,2013-12-18,False,5941,1,0,0.5,4,0,0.8,-0.05771608462734837,1.0
minutes,2013-12-18,2014-01-08,False,56851,9,8,0.05555555555555555,30,18,0.24489795918367346,-0.037581601140495025,1.0
statement,2014-01-29,2014-01-29,False,5727,1,0,0.5,3,0,0.75,-0.054340719011288556,1.0
minutes,2014-01-29,2014-02-19,False,76840,10,8,0.10526315789473684,26,14,0.2926829268292683,-0.020695220390844794,1.0
statement,2014-03-19,2014-03-19,False,6086,1,0,0.5,1,0,0.5,-0.061083020931009493,1.0
minutes,2014-03-19,2014-04-09,False,53831,9,11,-0.09523809523809523,21,19,0.04878048780487805,-0.04581994019660932,1.0
statement,2014-04-30,2014-04-30,False,5626,1,0,0.5,1,0,0.5,-0.056514089342760504,1.0
minutes,2014-04-30,2014-05-21,False,38049,5,5,0.0,9,11,-0.09523809523809523,-0.027547374818803174,1.0
statement,2014-06-18,2014-06-18,False,5557,2,0,0.6666666666666666,2,0,0.6666666666666666,-0.058799038558947796,1.0
minutes,2014-06-18,2014-07-09,False,49917,9,1,0.7272727272727273,23,5,0.6206896551724138,-0.03157326646854235,1.0
statement,2014-07-30,2014-07-30,False,5831,1,0,0.5,2,0,0.6666666666666666,-0.05881127163771862,1.0
minutes,2014-07-30,2014-08-20,False,52805,12,3,0.5625,25,10,0.4166666666666667,-0.03464318104273467,1.0
statement,2014-09-17,2014-09-17,False,6203,1,0,0.5,1,0,0.5,-0.05940198866548003,1.0
minutes,2014-09-17,2014-10-08,False,53602,5,7,-0.15384615384615385,15,16,-0.03125,-0.03433764900515727,1.0
statement,2014-10-29,2014-10-29,False,4980,1,1,0.0,1,2,-0.25,-0.06450024498086702,1.0
minutes,2014-10-29,2014-11-19,False,55143,10,9,0.05,16,30,-0.2978723404255319,-0.031238957681611237,1.0
statement,2014-12-17,2014-12-17,False,5065,1,2,-0.25,2,5,-0.375,-0.07217704316990037,1.0
minutes,2014-12-17,2015-01-07,False,43008,5,18,-0.5416666666666666,11,46,-0.603448275862069,-0.03189630592056249,1.0
statement,2015-01-28,2015-01-28,False,3985,1,1,0.0,2,5,-0.375,-0.06386672755527428,1.0
minutes,2015-01-28,2015-02-18,False,82282,10,14,-0.16,18,42,-0.39344262295081966,-0.01937209722469298,1.0
statement,2015-03-18,2015-03-18,False,4000,1,2,-0.25,2,8,-0.5454545454545454,-0.05286725973380605,1.0
minutes,2015-03-18,2015-04-08,False,54953,9,14,-0.20833333333333334,20,40,-0.32786885245901637,-0.03237152437067369,1.0
statement,2015-04-29,2015-04-29,False,3879,0,2,-0.6666666666666666,2,7,-0.5,-0.05264399305107993,1.0
minutes,2015-04-29,2015-05-20,False,50412,4,14,-0.5263157894736842,18,41,-0.38333333333333336,-0.03544716866017004,1.0
statement,2015-06-17,2015-06-17,False,3754,0,2,-0.6666666666666666,1,3,-0.4,-0.05236505898426951,1.0
minutes,2015-06-17,2015-07-08,False,53278,9,10,-0.05,17,25,-0.18604651162790697,-0.03588301708022343,0.9970326409495549
statement,2015-07-29,2015-07-29,False,3716,0,2,-0.6666666666666666,2,3,-0.16666666666666666,-0.05342136698292606,1.0
minutes,2015-07-29,2015-08-19,False,56025,4,11,-0.4375,13,30,-0.38636363636363635,-0.03372803264984325,1.0
statement,2015-09-17,2015-09-17,False,4019,0,1,-0.5,2,2,0.0,-0.04449740950385138,1.0
minutes,2015-09-17,2015-10-08,False,49504,9,11,-0.09523809523809523,24,32,-0.14035087719298245,-0.025638912453135165,0.9967741935483871
statement,2015-10-28,2015-10-28,False,3931,0,0,0.0,2,1,0.25,-0.0464650079995484,1.0
minutes,2015-10-28,2015-11-18,False,53751,7,8,-0.0625,17,22,-0.125,-0.030272572128628737,0.9971098265895953
statement,2015-12-16,2015-12-16,False,4020,0,1,-0.5,2,2,0.0,-0.044332018807292366,1.0
minutes,2015-12-16,2016-01-06,False,50811,6,9,-0.1875,19,31,-0.23529411764705882,-0.02838183458991238,0.9969135802469136
statement,2016-01-27,2016-01-27,False,3748,0,0,0.0,1,4,-0.5,-0.0469812661535301,1.0
minutes,2016-01-27,2016-02-17,False,81622,7,9,-0.11764705882352941,15,41,-0.45614035087719296,-0.014557720401423998,1.0
statement,2016-03-16,2016-03-16,False,3810,0,1,-0.5,1,3,-0.4,-0.04608854952711195,1.0
minutes,2016-03-16,2016-04-06,False,51352,6,12,-0.3157894736842105,21,28,-0.14,-0.03718458758173826,1.0
statement,2016-04-27,2016-04-27,False,3836,0,1,-0.5,1,4,-0.5,-0.03828124882912337,1.0
minutes,2016-04-27,2016-05-18,False,61662,9,16,-0.2692307692307692,28,36,-0.12307692307692308,-0.034680851706742115,1.0
statement,2016-06-15,2016-06-15,False,3608,0,0,0.0,2,4,-0.2857142857142857,-0.04158162954315169,1.0
minutes,2016-06-15,2016-07-06,False,54586,6,11,-0.2777777777777778,19,38,-0.3275862068965517,-0.03771239487192657,1.0
statement,2016-07-27,2016-07-27,False,3752,0,2,-0.6666666666666666,1,4,-0.5,-0.041853665721628026,1.0
minutes,2016-07-27,2016-08-17,False,67976,6,16,-0.43478260869565216,21,31,-0.18867924528301888,-0.03321617838470904,1.0
statement,2016-09-21,2016-09-21,False,3974,0,1,-0.5,2,3,-0.16666666666666666,-0.04222503131748946,1.0
minutes,2016-09-21,2016-10-12,False,59130,10,13,-0.125,27,26,0.018518518518518517,-0.03691684881636091,1.0
statement,2016-11-02,2016-11-02,False,3949,1,0,0.5,2,1,0.25,-0.04482019140876143,1.0
minutes,2016-11-02,2016-11-23,False,61335,12,7,0.25,22,15,0.18421052631578946,-0.025334337395336113,1.0
statement,2016-12-14,2016-12-14,False,3607,1,0,0.5,2,1,0.25,-0.04891537500757231,1.0
minutes,2016-12-14,2017-01-04,False,55591,15,1,0.8235294117647058,32,11,0.4772727272727273,-0.027583416617813546,1.0
statement,2017-02-01,2017-02-01,False,3389,1,1,0.0,2,2,0.0,-0.0571326282110635,1.0
minutes,2017-02-01,2017-02-22,False,81683,10,10,0.0,23,19,0.09302325581395349,-0.02030677147190035,0.9979757085020243
statement,2017-03-15,2017-03-15,False,3550,1,1,0.0,1,2,-0.25,-0.04432836089144607,1.0
minutes,2017-03-15,2017-04-05,False,59605,16,5,0.5,26,12,0.358974358974359,-0.03292845377838748,1.0
statement,2017-05-03,2017-05-03,False,3536,0,1,-0.5,2,3,-0.16666666666666666,-0.04195881241775977,0.9615384615384616
minutes,2017-05-03,2017-05-24,False,56689,6,9,-0.1875,22,18,0.0975609756097561,-0.0247925936714019,0.9971428571428571
statement,2017-06-14,2017-06-14,False,3729,0,1,-0.5,1,2,-0.25,-0.035174368881649036,1.0
minutes,2017-06-14,2017-07-05,False,55742,6,6,0.0,22,15,0.18421052631578946,-0.028863827098868162,1.0
statement,2017-07-26,2017-07-26,False,3417,0,1,-0.5,1,2,-0.25,-0.03837615688006384,1.0
minutes,2017-07-26,2017-08-16,False,49750,5,12,-0.3888888888888889,19,24,-0.11363636363636363,-0.025297623356772388,1.0
statement,2017-09-20,2017-09-20,False,3583,1,1,0.0,1,3,-0.4,-0.04490942225682476,1.0
minutes,2017-09-20,2017-10-11,False,57209,13,14,-0.03571428571428571,16,30,-0.2978723404255319,-0.028724770392695158,1.0
statement,2017-11-01,2017-11-01,False,3466,0,1,-0.5,2,3,-0.16666666666666666,-0.046909418928789796,1.0
minutes,2017-11-01,2017-11-22,False,50720,5,11,-0.35294117647058826,18,26,-0.17777777777777778,-0.02644611681933678,0.9969135802469136
statement,2017-12-13,2017-12-13,False,3253,0,1,-0.5,1,3,-0.4,-0.04919907835726536,1.0
minutes,2017-12-13,2018-01-03,False,49380,6,11,-0.2777777777777778,16,24,-0.1951219512195122,-0.026345284014655013,1.0
statement,2018-01-31,2018-01-31,False,2795,1,0,0.5,1,1,0.0,-0.0403376951457887,1.0
